feature,importance
acc_y_seg3_std,1757.6
acc_x_seg3_std,1501.8
acc_z_seg3_std,1177.4
acc_y_seg3_mean,1164.0
acc_z_min,1016.2
acc_y_max,972.0
rot_w_n_changes,928.6
acc_magnitude_seg3_std,926.0
rot_z_n_changes,875.0
rot_x_seg3_mean,815.6
rot_z_seg3_std,813.2
rot_x_seg3_std,774.2
rot_x_n_changes,769.4
acc_y_diff_std,764.6
rot_w_seg3_std,746.8
acc_y_seg2_to_seg3,746.0
acc_z_seg3_mean,736.4
acc_x_std,727.4
acc_y_q75,727.0
acc_y_last,725.8
rot_y_n_changes,723.2
acc_y_range,713.0
rot_y_max,711.6
acc_x_min,706.2
world_acc_x_seg3_std,686.2
acc_x_range,654.2
acc_z_diff_std,649.4
rot_y_seg3_std,642.6
acc_z_q25,640.6
world_acc_y_diff_std,637.0
acc_y_min,630.4
acc_x_seg2_std,618.6
world_acc_y_seg3_std,617.6
rot_y_seg3_mean,591.0
acc_x_n_changes,578.4
world_acc_z_n_changes,572.0
rot_y_min,565.4
acc_y_n_changes,558.0
rot_w_diff_std,552.6
acc_x_seg2_to_seg3,550.8
rot_y_seg2_to_seg3,544.2
acc_y_seg1_std,544.0
acc_y_skew,539.4
rot_x_seg2_std,537.2
rot_x_mean,532.4
rot_x_seg2_to_seg3,531.6
acc_y_std,530.4
rot_x_q75,528.8
sequence_length,527.6
acc_x_diff_std,526.6
acc_z_std,513.2
acc_z_n_changes,512.6
acc_y_time_corr,510.4
world_acc_x_seg3_mean,509.6
rot_z_min,508.4
rot_x_time_corr,508.2
acc_x_mean,504.6
world_acc_x_max,497.2
rot_x_min,489.0
world_acc_magnitude_seg3_std,485.6
acc_z_seg1_to_seg2,483.8
rot_x_max,481.8
rot_z_seg3_mean,480.4
acc_y_mean,479.6
world_acc_y_median,477.8
acc_magnitude_time_corr,475.4
acc_z_last,474.2
acc_x_max,474.0
acc_x_last,472.6
world_acc_y_seg3_mean,472.0
acc_x_seg3_mean,470.8
world_acc_z_median,465.6
rot_w_seg2_std,464.2
world_acc_x_median,461.8
acc_magnitude_kurt,458.4
acc_magnitude_seg3_mean,455.4
acc_y_seg1_to_seg2,455.4
rot_w_skew,453.8
rot_z_q75,451.0
acc_y_seg2_std,450.8
rot_y_std,447.8
rot_x_seg1_to_seg2,444.6
rot_z_diff_std,441.8
world_acc_y_seg2_std,439.8
world_acc_y_min,438.6
acc_x_time_corr,438.0
rot_y_median,434.6
acc_magnitude_min,432.6
acc_z_range,428.6
acc_magnitude_n_changes,425.4
acc_world_diff_seg3_std,421.2
world_acc_x_diff_std,420.2
acc_y_kurt,420.2
acc_z_seg2_std,419.8
acc_world_diff_seg2_std,418.4
acc_y_seg2_mean,417.8
rot_z_seg2_std,416.8
world_acc_z_seg3_std,416.2
rot_x_seg2_mean,412.2
rot_w_range,412.2
rot_x_diff_std,412.2
world_acc_x_kurt,410.6
rot_y_q75,409.6
rot_z_skew,407.6
world_acc_y_first,406.4
world_acc_y_skew,404.4
acc_world_diff_seg1_std,403.6
rot_y_q25,401.8
acc_y_median,401.2
world_acc_y_kurt,397.6
rot_x_median,396.4
world_acc_y_time_corr,395.2
rot_z_median,394.6
world_acc_z_kurt,394.0
acc_x_iqr,391.6
world_acc_z_time_corr,391.4
world_acc_x_time_corr,390.2
world_acc_x_seg2_to_seg3,386.8
acc_x_seg1_mean,386.2
acc_magnitude_skew,384.0
world_acc_x_mean,383.4
rot_x_range,383.2
acc_magnitude_q25,382.8
acc_x_var,381.2
rot_y_seg1_to_seg2,380.8
acc_magnitude_seg1_to_seg2,380.4
acc_z_diff_mean,380.0
world_acc_x_skew,376.8
world_acc_x_n_changes,376.8
rot_x_q25,375.8
acc_world_diff_time_corr,375.0
acc_magnitude_median,372.6
world_acc_y_mean,372.0
world_acc_y_seg2_to_seg3,369.6
world_acc_z_skew,368.2
acc_x_q25,367.6
rot_z_max,367.2
world_acc_y_n_changes,365.4
rot_y_time_corr,365.2
rot_w_seg1_to_seg2,363.4
rot_y_last,362.2
rot_w_seg3_mean,360.4
world_acc_z_min,360.0
acc_magnitude_seg1_mean,358.6
rot_z_last,357.6
rot_w_seg2_to_seg3,354.4
acc_z_seg2_to_seg3,354.0
world_acc_z_max,353.8
rot_y_mean,353.2
world_acc_x_last,351.6
rot_z_seg2_to_seg3,351.0
rot_y_range,350.6
world_acc_z_q75,349.8
acc_z_median,348.6
acc_y_iqr,345.4
rot_z_seg1_to_seg2,342.6
rot_x_last,342.0
acc_z_skew,339.4
world_acc_y_max,338.6
rot_z_mean,338.6
world_acc_y_seg2_mean,337.4
rot_w_max,336.6
acc_x_q75,336.4
rot_z_seg1_mean,336.2
acc_world_diff_mean,335.4
acc_z_seg1_std,335.0
world_acc_x_first,331.6
rot_y_seg2_std,330.8
world_acc_x_q25,329.6
acc_world_diff_n_changes,329.6
world_acc_y_q25,329.2
acc_x_kurt,327.8
world_acc_y_last,327.0
rot_z_time_corr,326.0
world_acc_x_seg2_std,324.6
acc_magnitude_seg2_mean,323.8
acc_magnitude_last,322.4
rot_x_skew,318.2
world_acc_x_q75,317.0
rot_w_time_corr,316.2
world_acc_y_q75,316.0
rot_y_seg2_mean,315.4
acc_z_max,315.2
rot_x_std,312.2
acc_z_seg2_mean,312.0
acc_magnitude_mean,310.8
acc_magnitude_seg2_std,310.8
rot_w_std,310.6
acc_magnitude_seg2_to_seg3,310.4
rot_z_kurt,309.8
rot_w_min,308.6
rot_z_seg2_mean,308.2
acc_world_diff_seg1_mean,308.2
acc_world_diff_diff_std,307.6
acc_z_time_corr,305.4
acc_world_diff_seg2_mean,304.2
rot_w_seg1_std,304.0
rot_y_diff_std,303.0
rot_w_last,302.8
world_acc_y_std,302.6
world_acc_z_seg2_to_seg3,301.2
world_acc_z_mean,301.0
world_acc_y_seg1_mean,300.0
world_acc_z_seg3_mean,299.2
acc_x_seg1_to_seg2,298.2
acc_x_median,298.2
rot_z_q25,297.8
acc_z_delta,296.2
acc_y_q25,296.0
acc_x_skew,295.2
acc_y_diff_mean,295.2
rot_w_diff_mean,291.2
rot_z_std,290.8
acc_world_diff_seg2_to_seg3,290.6
world_acc_z_seg2_std,290.4
rot_w_q25,290.2
acc_world_diff_diff_mean,289.8
acc_world_diff_seg3_mean,288.0
acc_x_first,286.2
acc_z_mean,283.8
rot_x_kurt,281.8
acc_world_diff_std,279.8
world_acc_x_min,277.0
acc_world_diff_seg1_to_seg2,274.4
world_acc_y_range,273.2
acc_magnitude_seg1_std,273.2
rot_x_iqr,272.8
rot_y_iqr,272.8
acc_y_delta,272.4
world_acc_z_last,270.2
rot_w_kurt,267.2
acc_y_seg1_mean,266.6
acc_x_seg2_mean,266.4
acc_y_var,264.6
world_acc_x_seg1_mean,264.0
rot_y_seg1_std,262.8
rot_x_seg1_mean,262.2
world_acc_y_seg1_to_seg2,260.0
world_acc_z_diff_std,259.4
rot_w_median,254.0
age,252.2
world_acc_x_delta,252.0
rot_y_seg1_mean,251.6
rot_z_iqr,251.0
acc_y_first,250.2
world_acc_magnitude_time_corr,249.8
world_acc_x_diff_mean,249.6
rot_y_skew,249.2
acc_x_seg1_std,247.6
acc_magnitude_max,245.4
rot_w_delta,244.4
world_acc_x_range,243.0
world_acc_y_diff_mean,241.6
rot_w_mean,240.8
rot_x_diff_mean,240.6
world_acc_y_delta,240.0
world_acc_z_seg1_mean,239.8
world_acc_x_std,239.8
rot_z_range,238.6
world_acc_x_seg2_mean,237.2
world_acc_y_iqr,236.4
world_acc_z_first,235.2
acc_x_diff_mean,233.6
acc_x_delta,233.2
rot_y_kurt,233.0
rot_w_first,231.8
rot_y_first,230.0
world_acc_magnitude_n_changes,229.4
acc_z_var,229.0
acc_magnitude_first,228.8
world_acc_y_seg1_std,227.6
world_acc_x_iqr,226.8
world_acc_magnitude_kurt,226.2
acc_z_iqr,225.6
acc_z_kurt,225.4
rot_y_var,223.2
rot_x_delta,222.0
rot_z_diff_mean,221.0
world_acc_z_range,220.8
acc_z_seg1_mean,220.6
rot_z_seg1_std,218.0
rot_w_seg1_mean,215.4
rot_x_first,215.2
acc_magnitude_diff_std,213.2
rot_w_iqr,211.2
world_acc_magnitude_seg3_mean,211.0
acc_z_q75,211.0
world_acc_z_seg2_mean,207.2
world_acc_z_q25,207.2
world_acc_z_std,205.6
acc_magnitude_q75,205.4
rot_w_q75,204.0
rot_w_seg2_mean,204.0
rot_z_first,203.4
rot_z_delta,202.8
acc_z_first,202.6
acc_magnitude_range,202.2
world_acc_z_iqr,201.2
world_acc_magnitude_min,201.0
rot_y_delta,200.4
height_cm,196.8
world_acc_magnitude_median,196.0
world_acc_magnitude_q25,195.0
rot_y_diff_mean,194.2
acc_magnitude_iqr,193.8
rot_x_seg1_std,190.4
world_acc_magnitude_seg1_to_seg2,188.0
world_acc_x_seg1_std,184.8
world_acc_x_seg1_to_seg2,184.6
world_acc_magnitude_seg1_mean,182.2
acc_magnitude_delta,178.4
world_acc_magnitude_skew,175.4
world_acc_magnitude_last,171.4
world_acc_magnitude_mean,166.8
acc_magnitude_std,162.6
world_acc_z_seg1_to_seg2,162.2
rot_w_var,161.6
world_acc_z_seg1_std,161.4
world_acc_z_delta,160.6
world_acc_magnitude_seg2_mean,160.4
acc_world_diff_var,160.2
world_acc_magnitude_seg2_to_seg3,159.6
world_acc_z_diff_mean,158.2
rot_x_var,157.4
rot_z_var,151.6
acc_magnitude_diff_mean,147.2
world_acc_magnitude_seg2_std,143.0
world_acc_x_var,142.8
world_acc_y_var,138.0
world_acc_magnitude_seg1_std,131.2
world_acc_magnitude_max,129.0
world_acc_magnitude_first,123.0
world_acc_z_var,120.8
shoulder_to_wrist_cm,115.2
elbow_to_wrist_cm,113.4
world_acc_magnitude_diff_std,110.8
world_acc_magnitude_iqr,104.2
world_acc_magnitude_range,104.0
world_acc_magnitude_q75,102.6
world_acc_magnitude_delta,87.2
acc_magnitude_var,77.2
world_acc_magnitude_diff_mean,72.6
acc_world_diff_last,68.8
acc_world_diff_delta,63.8
acc_world_diff_first,46.2
world_acc_magnitude_std,40.8
sex,34.0
acc_world_diff_range,33.6
acc_world_diff_min,29.6
acc_world_diff_max,25.4
world_acc_magnitude_var,25.0
acc_world_diff_median,18.4
adult_child,15.8
acc_world_diff_iqr,3.6
acc_world_diff_q25,3.2
handedness,2.4
acc_world_diff_q75,0.0
acc_world_diff_kurt,0.0
acc_world_diff_skew,0.0
